"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"Aska-SS",155825,"ASKA","collaborator","","","","Aska-SS","Soft Tissue","Biphasic synovial sarcoma","CVCL_6C43","ASKA_66_2019",NA,"Cancer cell line",NA
"AsPC-1",52,"ASPC1","ccle;public","pancreas","carcinoma","ductal_carcinoma","AsPC-1","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0152","AsPC1_67_2019","pancreas","Cancer cell line",TRUE
"AU565",53,"AU565","ccle;public","breast","carcinoma","","AU565","Breast","Breast adenocarcinoma","CVCL_1074","AU565_70_2019","breast","Cancer cell line",TRUE
"B-CPAP",57,"BCPAP","ccle;public","thyroid","carcinoma","papillary_carcinoma","B-CPAP","Thyroid","Poorly differentiated thyroid gland carcinoma","CVCL_0153","BCPAP_82_2019","thyroid","Cancer cell line",NA
"BC-3C",55,"BC3C","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","BC-3C","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1958","BC3C_80_2019","urinary_tract","Cancer cell line",NA
"BCP-1",56,"BCP1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","BCP-1","Lymphoid","Primary effusion lymphoma","CVCL_0107","BCP1_81_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"BDCM",58,"BDCM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","BDCM","Myeloid","Acute myeloid leukemia","CVCL_4613","BDCM_83_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Becker",59,"BECKER","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","Becker","CNS/Brain","Astrocytoma","CVCL_1093","Becker_86_2019","central_nervous_system","Cancer cell line",NA
"BEN",60,"BEN","ccle;public","lung","carcinoma","","BEN","Lung","Non-small cell lung carcinoma","CVCL_1082","BEN_87_2019","lung","Cancer cell line",TRUE
"BFTC-905",61,"BFTC905","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","BFTC-905","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1083","BFTC905_88_2019","urinary_tract","Cancer cell line",NA
"BFTC-909",62,"BFTC909","ccle;public","kidney","carcinoma","","BFTC-909","Bladder/Urinary Tract","Renal cell carcinoma","CVCL_1084","BFTC909_89_2019","urinary_tract","Cancer cell line",NA
"BHT-101",64,"BHT101","ccle;public","thyroid","carcinoma","anaplastic_carcinoma","BHT-101","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1085","BHT101_91_2019","thyroid","Cancer cell line",TRUE
"BHY",65,"BHY","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BHY","Head and Neck","Head and neck squamous cell carcinoma","CVCL_1086","BHY_92_2019","upper_aerodigestive_tract","Cancer cell line",NA
"BICR 16",66,"BICR16","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 16","Head and Neck","Tongue squamous cell carcinoma","CVCL_2308","BICR16_94_2019","upper_aerodigestive_tract","Cancer cell line",NA
"BICR 18",67,"BICR18","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 18","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_2309","BICR18_95_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"BICR 22",68,"BICR22","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 22","Head and Neck","Tongue squamous cell carcinoma","CVCL_2310","BICR22_96_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"BICR 31",69,"BICR31","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 31","Head and Neck","Tongue squamous cell carcinoma","CVCL_2312","BICR31_97_2019","upper_aerodigestive_tract","Cancer cell line",NA
"BICR 56",70,"BICR56","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 56","Head and Neck","Tongue squamous cell carcinoma","CVCL_2313","BICR56_98_2019","upper_aerodigestive_tract","Cancer cell line",NA
"BICR 6",71,"BICR6","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","BICR 6","Head and Neck","Hypopharyngeal squamous cell carcinoma","CVCL_2314","BICR6_99_2019","upper_aerodigestive_tract","Cancer cell line",NA
"BL-41",74,"BL41","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","BL-41","Lymphoid","Burkitt lymphoma","CVCL_1087","BL41_103_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"BL-70",75,"BL70","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","BL-70","Lymphoid","Burkitt lymphoma","CVCL_1088","BL70_104_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"BT 112",77,"BT112","collaborator","","","","BT 112","CNS/Brain","Glioblastoma","CVCL_WW37","BT112_112_2019",NA,"Cancer cell line",NA
"BT 131",78,"BT131","collaborator","","","","BT 131","CNS/Brain","Glioblastoma","CVCL_WW38","BT131_114_2019",NA,"Cancer cell line",NA
"BT 139",79,"BT139","collaborator","","","","BT 139","CNS/Brain","Glioblastoma","CVCL_WW39","BT139_115_2019",NA,"Cancer cell line",NA
"BT 145",80,"BT145","collaborator","","","","BT 145","CNS/Brain","Glioblastoma","CVCL_IP10","BT145_116_2019",NA,"Cancer cell line",NA
"BT 147",81,"BT147","collaborator","","","","BT 147","CNS/Brain","Glioblastoma","CVCL_WW40","BT147_117_2019",NA,"Cancer cell line",NA
"BT 159",82,"BT159","collaborator","","","","BT 159","CNS/Brain","Glioblastoma","CVCL_IP11","BT159_118_2019",NA,"Cancer cell line",NA
"BT 164",83,"BT164","collaborator","","","","BT 164","CNS/Brain","Glioblastoma","CVCL_WW41","BT164_120_2019",NA,"Cancer cell line",NA
"BT 172",84,"BT172","collaborator","","","","BT 172","CNS/Brain","Glioblastoma","CVCL_IP12","BT172_121_2019",NA,"Cancer cell line",NA
"BT 187",88,"BT187","collaborator","","","","BT 187","CNS/Brain","Glioblastoma","CVCL_WW46","BT187_123_2019",NA,"Cancer cell line",NA
"BT 216",91,"BT216","collaborator","","","","BT 216","CNS/Brain","Glioblastoma","CVCL_WW49","BT216_124_2019",NA,"Cancer cell line",NA
"BT 224",92,"BT224","collaborator","","","","BT 224","CNS/Brain","Glioblastoma","CVCL_WW50","BT224_125_2019",NA,"Cancer cell line",NA
"BT 228",93,"BT228","collaborator","","","","BT 228","CNS/Brain","Glioblastoma","CVCL_WW51","BT228_126_2019",NA,"Cancer cell line",NA
"BT 231",94,"BT231","collaborator","","","","BT 231","CNS/Brain","Glioblastoma","CVCL_WW52","BT231_127_2019",NA,"Cancer cell line",NA
"BT 232",155803,"BT232","collaborator","","","","BT 232","CNS/Brain","Glioblastoma","CVCL_WW53","BT232_128_2019",NA,"Cancer cell line",NA
"BT 239",95,"BT239","collaborator","","","","BT 239","CNS/Brain","Glioblastoma","CVCL_WW54","BT239_129_2019",NA,"Cancer cell line",NA
"BT 245",155804,"BT245","collaborator","","","","BT 245","CNS/Brain","Glioblastoma","CVCL_IP13","BT245_130_2019",NA,"Cancer cell line",NA
"BT 248",96,"BT248","collaborator","","","","BT 248","CNS/Brain","Glioblastoma","CVCL_WW55","BT248_131_2019",NA,"Cancer cell line",NA
"BT 271",155805,"BT271","collaborator","","","","BT 271","CNS/Brain","Glioblastoma","CVCL_WW56","BT271_132_2019",NA,"Cancer cell line",NA
"BT 286",155806,"BT286","collaborator","","","","BT 286","CNS/Brain","Glioblastoma","CVCL_WW57","BT286_133_2019",NA,"Cancer cell line",NA
"BT 320",155807,"BT320","collaborator","","","","BT 320","CNS/Brain","Glioblastoma","CVCL_WW58","BT320_134_2019",NA,"Cancer cell line",NA
"BT 328",155808,"BT328","collaborator","","","","BT 328","CNS/Brain","Glioblastoma","CVCL_WW59","BT328_135_2019",NA,"Cancer cell line",NA
"BT 330",155809,"BT330","collaborator","","","","BT 330","CNS/Brain","Glioblastoma","CVCL_WW60","BT330_136_2019",NA,"Cancer cell line",NA
"BT 333",155810,"BT333","collaborator","","","","BT 333","CNS/Brain","Glioblastoma","CVCL_WW61","BT333_137_2019",NA,"Cancer cell line",NA
"BT 340",155811,"BT340","collaborator","","","","BT 340","CNS/Brain","Glioblastoma","CVCL_WW62","BT340_138_2019",NA,"Cancer cell line",NA
"BT 359",155812,"BT359","collaborator","","","","BT 359","CNS/Brain","Glioblastoma","CVCL_WW63","BT359_139_2019",NA,"Cancer cell line",NA
"BT 416",155813,"BT416","collaborator","","","","BT 416","CNS/Brain","Glioblastoma","CVCL_WW64","BT416_140_2019",NA,"Cancer cell line",NA
"BT 422",155814,"BT422","collaborator","","","","BT 422","CNS/Brain","Glioblastoma","CVCL_WW65","BT422_141_2019",NA,"Cancer cell line",NA
"BT 428",155815,"BT428","collaborator","","","","BT 428","CNS/Brain","Glioblastoma","CVCL_WW66","BT428_142_2019",NA,"Cancer cell line",NA
"BT 440",155816,"BT440","collaborator","","","","BT 440","CNS/Brain","Glioblastoma","CVCL_WW67","BT440_143_2019",NA,"Cancer cell line",NA
"BT 444",155817,"BT444","collaborator","","","","BT 444","CNS/Brain","Glioblastoma","CVCL_WW68","BT444_144_2019",NA,"Cancer cell line",NA
"BT 482",155818,"BT482","collaborator","","","","BT 482","CNS/Brain","Glioblastoma","CVCL_WW69","BT482_145_2019",NA,"Cancer cell line",NA
"BT 498",120597,"BT498","collaborator","","","","BT 498","CNS/Brain","Glioblastoma","CVCL_WW71","BT498_146_2019",NA,"Cancer cell line",NA
"BT 504",155819,"BT504","collaborator","","","","BT 504","CNS/Brain","Glioblastoma","CVCL_WW72","BT504_147_2019",NA,"Cancer cell line",NA
"BT-12",155820,"BT12","collaborator","","","","BT-12","CNS/Brain","Atypical teratoid/rhabdoid tumor","CVCL_M155","BT12_113_2019",NA,"Cancer cell line",NA
"BT-16",155821,"BT16","collaborator","","","","BT-16","CNS/Brain","Atypical teratoid/rhabdoid tumor","CVCL_M156","BT16_119_2019",NA,"Cancer cell line",NA
"BT-20",90,"BT20","ccle;public","breast","carcinoma","ductal_carcinoma","BT-20","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_0178","BT20_108_2019","breast","Cancer cell line",NA
"BT-474",97,"BT474","ccle;public","breast","carcinoma","ductal_carcinoma","BT-474","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_0179","BT474_109_2019","breast","Cancer cell line",NA
"BT-549",99,"BT549","ccle;public","breast","carcinoma","ductal_carcinoma","BT-549","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_1092","BT549_111_2019","breast","Cancer cell line",NA
"BT179",85,"BT179","collaborator","","","","BT179","Other",NA,"CVCL_WW43","BT179_122_2019",NA,"Cancer cell line",NA
"BV-173",100,"BV173","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","BV-173","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_0181","BV173_148_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"BxPC-3",101,"BXPC3","ccle;public","pancreas","carcinoma","ductal_carcinoma","BxPC-3","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0186","BxPC3_149_2019","pancreas","Cancer cell line",NA
"C2BBe1",102,"C2BBE1","ccle;public","large_intestine","carcinoma","adenocarcinoma","C2BBe1","Bowel","Colon adenocarcinoma","CVCL_1096","C2BBe1_153_2019","large_intestine","Cancer cell line",NA
"C32 [Human melanoma]",103,"C32","ccle;public","skin","malignant_melanoma","","C32 [Human melanoma]","Skin","Amelanotic melanoma","CVCL_1097","C32_154_2019","skin","Cancer cell line",NA
"CA46",106,"CA46","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","CA46","Lymphoid","Burkitt lymphoma","CVCL_1101","CA46_159_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"CADO-ES1",108,"CADOES1","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","CADO-ES1","Bone","Ewing sarcoma","CVCL_1103","CADOES1_162_2019","bone","Cancer cell line",TRUE
"Caki-1",109,"CAKI1","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","Caki-1","Kidney","Clear cell renal cell carcinoma","CVCL_0234","CAKI1_163_2019","kidney","Cancer cell line",TRUE
"Caki-2",110,"CAKI2","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","Caki-2","Kidney","Papillary renal cell carcinoma","CVCL_0235","Caki2_164_2019","kidney","Cancer cell line",NA
"CAL-120",111,"CAL120","ccle;public","breast","carcinoma","","CAL-120","Breast","Breast carcinoma","CVCL_1104","CAL120_165_2019","breast","Cancer cell line",TRUE
"CAL-12T",112,"CAL12T","ccle;public","lung","carcinoma","non_small_cell_carcinoma","CAL-12T","Lung","Non-small cell lung carcinoma","CVCL_1105","CAL12T_166_2019","lung","Cancer cell line",NA
"CAL-148",113,"CAL148","ccle;public","breast","carcinoma","ductal_carcinoma","CAL-148","Breast","Breast carcinoma","CVCL_1106","CAL148_167_2019","breast","Cancer cell line",TRUE
"CAL-27",114,"CAL27","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","CAL-27","Head and Neck","Tongue squamous cell carcinoma","CVCL_1107","CAL27_168_2019","upper_aerodigestive_tract","Cancer cell line",NA
"CAL-29",115,"CAL29","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","CAL-29","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1808","CAL29_169_2019","urinary_tract","Cancer cell line",NA
"CAL-33",116,"CAL33","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","CAL-33","Head and Neck","Tongue squamous cell carcinoma","CVCL_1108","CAL33_170_2019","upper_aerodigestive_tract","Cancer cell line",NA
"CAL-51",117,"CAL51","ccle;public","breast","carcinoma","","CAL-51","Breast","Breast carcinoma","CVCL_1110","CAL51_172_2019","breast","Cancer cell line",TRUE
"CAL-54",118,"CAL54","ccle;public","kidney","carcinoma","renal_cell_carcinoma","CAL-54","Kidney","Renal cell carcinoma","CVCL_1111","CAL54_173_2019","kidney","Cancer cell line",TRUE
"CAL-62",119,"CAL62","ccle;public","thyroid","carcinoma","anaplastic_carcinoma","CAL-62","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1112","CAL62_174_2019","thyroid","Cancer cell line",NA
"CAL-78",120,"CAL78","ccle;public","bone","chondrosarcoma","dedifferentiated","CAL-78","Bone","Dedifferentiated chondrosarcoma","CVCL_1809","CAL78_176_2019","soft_tissue","Cancer cell line",NA
"CAL-85-1",121,"CAL851","ccle;public","breast","carcinoma","","CAL-85-1","Breast","Breast carcinoma","CVCL_1114","CAL851_177_2019","breast","Cancer cell line",NA
"Calu-1",122,"CALU1","ccle;public","lung","carcinoma","squamous_cell_carcinoma","Calu-1","Lung","Squamous cell lung carcinoma","CVCL_0608","Calu1_178_2019","lung","Cancer cell line",TRUE
"Calu-3",123,"CALU3","ccle;public","lung","carcinoma","adenocarcinoma","Calu-3","Lung","Lung adenocarcinoma","CVCL_0609","Calu3_179_2019","lung","Cancer cell line",TRUE
"Calu-6",124,"CALU6","ccle;public","lung","carcinoma","undifferentiated_carcinoma","Calu-6","Lung","Lung adenocarcinoma","CVCL_0236","Calu6_180_2019","lung","Cancer cell line",TRUE
"CAMA-1",125,"CAMA1","ccle;public","breast","carcinoma","","CAMA-1","Breast","Breast adenocarcinoma","CVCL_1115","CAMA1_181_2019","breast","Cancer cell line",TRUE
"Caov-3",126,"CAOV3","ccle;public","ovary","carcinoma","adenocarcinoma","Caov-3","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_0201","Caov3_182_2019","ovary","Cancer cell line",NA
"Capan-1",128,"CAPAN1","ccle;public","pancreas","carcinoma","ductal_carcinoma","Capan-1","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0237","CAPAN1_184_2019","pancreas","Cancer cell line",TRUE
"Capan-2",129,"CAPAN2","ccle;public","pancreas","carcinoma","ductal_carcinoma","Capan-2","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0026","Capan2_185_2019","pancreas","Cancer cell line",NA
"CAS-1",130,"CAS1","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","CAS-1","CNS/Brain","Glioblastoma","CVCL_1117","CAS1_187_2019","central_nervous_system","Cancer cell line",NA
"CCF-STTG1",131,"CCFSTTG1","ccle;public","central_nervous_system","glioma","astrocytoma","CCF-STTG1","CNS/Brain","Astrocytoma","CVCL_1118","CCFSTTG1_188_2019","central_nervous_system","Cancer cell line",NA
"CCK-81",132,"CCK81","ccle;public","large_intestine","carcinoma","adenocarcinoma","CCK-81","Bowel","Colon adenocarcinoma","CVCL_2873","CCK81_189_2019","large_intestine","Cancer cell line",TRUE
"CFPAC-1",138,"CFPAC1","ccle;public","pancreas","carcinoma","ductal_carcinoma","CFPAC-1","Pancreas","Cystic fibrosis","CVCL_1119","CFPAC1_193_2019","pancreas","Cancer cell line",TRUE
"CGTH-W-1",139,"CGTHW1","ccle;public","thyroid","carcinoma","follicular_carcinoma","CGTH-W-1","Thyroid","Thyroid gland squamous cell carcinoma","CVCL_1120","CGTHW1_194_2019","thyroid","Cancer cell line",NA
"ChaGo-K-1",141,"CHAGOK1","ccle;public","lung","carcinoma","","ChaGo-K-1","Lung","Bronchogenic carcinoma","CVCL_1121","ChaGoK1_196_2019","lung","Cancer cell line",TRUE
"CHP-126",143,"CHP126","ccle;public","autonomic_ganglia","neuroblastoma","","CHP-126","Peripheral Nervous System","Neuroblastoma","CVCL_1123","CHP126_198_2019","autonomic_ganglia","Cancer cell line",NA
"CHP-212",144,"CHP212","ccle;public","autonomic_ganglia","neuroblastoma","","CHP-212","Peripheral Nervous System","Neuroblastoma","CVCL_1125","CHP212_200_2019","autonomic_ganglia","Cancer cell line",NA
"Ci-1",145,"CI1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","Ci-1","Lymphoid","B-cell non-Hodgkin lymphoma","CVCL_1861","CI1_204_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"CJM [Human melanoma]",146,"CJM","ccle;public","skin","malignant_melanoma","","CJM [Human melanoma]","Skin","Melanoma","CVCL_U797","CJM_205_2019","skin","Cancer cell line",NA
"CL-11",147,"CL11","ccle;public","large_intestine","carcinoma","adenocarcinoma","CL-11","Bowel","Colon adenocarcinoma","CVCL_1978","CL11_206_2019","large_intestine","Cancer cell line",NA
"CL-34",149,"CL34","ccle;public","large_intestine","carcinoma","adenocarcinoma","CL-34","Bowel","Colon adenocarcinoma","CVCL_1980","CL34_208_2019","large_intestine","Cancer cell line",NA
"CMK",151,"CMK","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","CMK","Myeloid","Down syndrome","CVCL_0216","CMK_210_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"CML-T1",154,"CMLT1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","CML-T1","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_1126","CMLT1_213_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"COLO 201",155,"COLO201","ccle;public","large_intestine","carcinoma","adenocarcinoma","COLO 201","Bowel","Colon adenocarcinoma","CVCL_1987","COLO201_214_2019","large_intestine","Cancer cell line",TRUE
